City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
163,Cape Town,ZA,-33.93,18.42,53.01,100,0,8.05,clear sky,0.0,0
164,Narsaq,GL,60.92,-46.05,51.8,66,18,3.36,few clouds,0.0,0
165,Lorengau,PG,-2.02,147.27,84.74,74,98,7.94,light rain,0.43,0
166,Colares,PT,38.8,-9.45,64.0,95,6,11.99,clear sky,0.0,0
167,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,75.87,62,12,5.39,few clouds,0.0,0
168,Muros,ES,42.78,-9.06,63.0,89,9,1.99,clear sky,0.0,0
169,Comodoro Rivadavia,AR,-45.87,-67.5,42.8,70,75,16.11,light rain,0.0,0
170,Champerico,GT,14.3,-91.92,82.96,75,94,7.58,overcast clouds,0.0,0
171,Nanortalik,GL,60.14,-45.24,40.39,77,27,6.11,scattered clouds,0.0,0
172,Vaini,TO,-21.2,-175.2,78.8,78,40,4.7,scattered clouds,0.0,0
173,Kamyaran,IR,34.8,46.94,62.6,42,0,5.41,clear sky,0.0,0
174,Castro,BR,-24.79,-50.01,54.3,94,0,4.23,clear sky,0.0,0
175,Dharmanagar,IN,24.37,92.17,81.88,91,94,5.28,light rain,0.85,0
176,Mantang,PH,11.87,125.43,86.76,66,100,7.14,overcast clouds,0.0,0
177,Cidreira,BR,-30.18,-50.21,68.0,75,17,5.46,few clouds,0.0,0
178,Pacific Grove,US,36.62,-121.92,64.4,72,1,6.93,clear sky,0.0,0
179,Burns Lake,CA,54.23,-125.75,66.79,36,100,6.67,overcast clouds,0.0,0
180,Carballo,ES,43.21,-8.69,63.0,98,89,3.0,overcast clouds,0.0,0
181,Bonfim,BR,3.08,-59.95,76.51,85,100,5.93,overcast clouds,0.0,0
182,Taszar,HU,46.37,17.91,53.6,87,0,1.12,clear sky,0.0,0
183,Shahr-E Babak,IR,30.12,55.12,73.33,20,0,6.4,clear sky,0.0,0
184,Kajaani,FI,64.23,27.73,55.4,82,0,2.24,clear sky,0.0,0
185,Beloha,MG,-25.17,45.05,58.78,92,0,6.85,clear sky,0.0,0
186,Hasaki,JP,35.73,140.83,71.01,83,75,14.99,broken clouds,0.0,0
187,Port Macquarie,AU,-31.43,152.92,64.0,53,0,1.01,clear sky,0.0,0
188,San Patricio,MX,19.22,-104.7,82.4,78,75,9.17,broken clouds,0.0,0
189,Salinopolis,BR,-0.61,-47.36,79.18,84,27,9.91,scattered clouds,0.0,0
190,Tuzha,RU,57.61,47.94,52.29,91,0,8.3,clear sky,0.0,0
191,Tuatapere,NZ,-46.13,167.68,50.43,78,67,4.21,broken clouds,0.0,0
192,Pevek,RU,69.7,170.31,32.65,95,88,13.22,overcast clouds,0.0,0
193,Cabo San Lucas,MX,22.89,-109.91,91.99,37,5,18.34,clear sky,0.0,0
194,Salalah,OM,17.02,54.09,80.6,94,75,4.7,broken clouds,0.0,0
195,Yerbogachen,RU,61.28,108.01,70.59,44,0,7.54,clear sky,0.0,0
196,Hofn,IS,64.25,-15.21,50.25,92,100,20.09,moderate rain,1.85,0
197,Huarmey,PE,-10.07,-78.15,61.68,88,74,6.02,broken clouds,0.0,0
198,Samarai,PG,-10.62,150.67,80.13,84,100,16.67,moderate rain,1.86,0
199,Ban Dung,TH,17.7,103.26,87.8,66,70,3.36,broken clouds,0.0,0
200,Cozumel,MX,20.51,-86.95,82.99,88,75,4.7,broken clouds,0.0,0
201,Mackay,AU,-21.15,149.2,71.01,37,0,13.87,clear sky,0.0,0
202,Bethel,US,41.37,-73.41,73.0,83,1,5.82,clear sky,0.0,0
203,Kalmunai,LK,7.42,81.82,82.58,73,100,6.67,light rain,0.2,0
204,Tabou,CI,4.42,-7.35,76.69,82,100,7.63,overcast clouds,0.0,0
205,Maralal,KE,1.1,36.7,56.77,88,20,4.61,few clouds,0.0,0
206,Acapulco,MX,16.86,-99.89,80.6,78,90,8.05,overcast clouds,0.0,0
207,Kieta,PG,-6.22,155.63,86.34,60,1,7.34,clear sky,0.0,0
208,Namibe,AO,-15.2,12.15,71.01,56,42,6.53,scattered clouds,0.0,0
209,Pimentel,PE,-6.84,-79.93,63.25,86,69,13.98,broken clouds,0.0,0
210,Lompoc,US,34.64,-120.46,64.0,77,100,13.87,overcast clouds,0.0,0
211,Kavieng,PG,-2.57,150.8,86.22,68,8,9.19,clear sky,0.0,0
212,Agua Verde,MX,22.9,-106.05,86.0,62,75,12.75,broken clouds,0.0,0
213,Leshukonskoye,RU,64.9,45.76,41.05,81,100,6.96,overcast clouds,0.0,0
214,Batagay-Alyta,RU,67.8,130.41,82.2,27,71,8.66,broken clouds,0.0,0
215,Vestmannaeyjar,IS,63.44,-20.27,50.65,90,100,20.98,light rain,0.29,0
216,Port Augusta,AU,-32.5,137.77,55.4,71,0,6.93,clear sky,0.0,0
217,Ostrovnoy,RU,68.05,39.51,41.58,77,100,13.78,overcast clouds,0.0,0
218,Norman Wells,CA,65.28,-126.83,51.8,71,75,18.34,broken clouds,0.0,0
219,Kamaishi,JP,39.27,141.88,71.6,78,75,8.05,broken clouds,0.0,0
220,Birjand,IR,32.87,59.22,71.6,26,0,9.17,clear sky,0.0,0
221,Taplanszentkereszt,HU,47.2,16.7,55.99,75,0,7.63,clear sky,0.0,0
222,Lantawan,PH,10.62,123.98,87.8,62,75,8.05,broken clouds,0.0,0
223,Tabas,IR,33.6,56.92,87.8,22,0,6.93,clear sky,0.0,0
224,Faya,SA,18.39,42.45,68.0,22,100,5.08,overcast clouds,0.0,0
225,Puerto Escondido,MX,15.85,-97.07,81.86,76,99,6.24,overcast clouds,0.0,0
226,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.88,89,9,10.69,clear sky,0.0,0
227,Aklavik,CA,68.22,-135.01,44.6,75,90,6.93,overcast clouds,0.0,0
228,Aiquile,BO,-18.2,-65.18,53.31,81,10,3.78,clear sky,0.0,0
229,Provideniya,RU,64.38,-173.3,44.6,81,40,13.42,scattered clouds,0.0,0
230,Tatawin,TN,32.93,10.45,69.8,60,0,3.36,clear sky,0.0,0
231,Bure,ET,10.7,37.07,58.17,92,99,1.48,light rain,0.8,0
232,Omsukchan,RU,62.53,155.8,78.08,29,23,8.72,few clouds,0.0,0
233,Bandarbeyla,SO,9.49,50.81,80.69,69,50,22.55,scattered clouds,0.0,0
234,Khatanga,RU,71.97,102.5,75.15,44,47,8.37,scattered clouds,0.0,0
235,Cefa,RO,46.92,21.73,63.0,82,71,5.82,broken clouds,0.0,0
236,Cayenne,GF,4.93,-52.33,77.0,100,100,1.12,overcast clouds,0.0,0
237,Medvedok,RU,57.39,50.04,54.32,87,28,7.58,scattered clouds,0.0,0
238,Laizhou,CN,37.18,119.93,74.14,76,70,18.01,broken clouds,0.0,0
239,Turinsk,RU,58.05,63.7,54.07,88,100,6.53,overcast clouds,0.0,0
240,Laguna,US,38.42,-121.42,96.8,35,1,9.17,clear sky,0.0,0
241,Shelburne,CA,44.08,-80.2,68.0,82,90,14.99,overcast clouds,0.0,0
242,Yulara,AU,-25.24,130.99,57.2,32,0,1.28,clear sky,0.0,0
243,Tarko-Sale,RU,64.92,77.78,55.02,65,26,2.33,scattered clouds,0.0,0
244,Atambua,ID,-9.11,124.89,80.26,62,17,3.06,few clouds,0.0,0
245,Juegang,CN,32.32,121.19,79.59,80,84,10.78,broken clouds,0.0,0
246,Egvekinot,RU,66.32,-179.17,37.9,88,100,4.72,overcast clouds,0.0,0
247,Tual,ID,-5.67,132.75,80.73,80,38,22.26,scattered clouds,0.0,0
248,Numan,NG,9.47,12.03,78.22,77,1,9.13,clear sky,0.0,0
249,Botevgrad,BG,42.9,23.78,59.0,93,20,4.7,few clouds,0.0,0
250,Bemidji,US,47.47,-94.88,62.01,72,75,13.87,broken clouds,0.0,0
251,Myitkyina,MM,25.38,97.4,75.99,96,100,0.83,heavy intensity rain,6.4,0
252,Doha,QA,25.29,51.53,86.0,51,0,5.82,clear sky,0.0,0
253,Tooele,US,40.53,-112.3,82.4,21,1,5.82,clear sky,0.0,0
254,Suriapet,IN,17.15,79.62,85.1,62,3,2.66,clear sky,0.0,0
255,Aksay,RU,47.26,39.87,66.0,88,9,4.47,clear sky,0.0,0
256,Teknaf,BD,20.86,92.31,84.45,78,100,2.15,overcast clouds,0.0,0
257,Sitka,US,57.05,-135.33,55.4,76,75,6.93,broken clouds,0.0,0
258,Malanje,AO,-9.54,16.34,55.76,39,7,4.61,clear sky,0.0,0
259,Leningradskiy,RU,69.38,178.42,33.66,89,94,13.44,overcast clouds,0.0,0
260,North Branch,US,45.51,-92.98,60.01,84,87,1.01,overcast clouds,0.0,0
261,Nabire,ID,-3.37,135.48,86.94,61,0,2.84,clear sky,0.0,0
262,Surt,LY,31.21,16.59,69.17,79,0,0.85,clear sky,0.0,0
263,Rio Gallegos,AR,-51.62,-69.22,32.0,91,12,10.29,few clouds,0.0,0
264,Knysna,ZA,-34.04,23.05,50.0,100,0,4.7,mist,0.0,0
265,Komatipoort,ZA,-25.43,31.95,51.01,87,0,2.04,clear sky,0.0,0
266,Dingle,PH,11.0,122.67,87.69,64,100,6.58,overcast clouds,0.0,0
