City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Santa Fe,AR,2020-06-20 18:46:32,-31.63,-60.7,63.0,77,100,3.0
180,Port Shepstone,ZA,2020-06-20 18:47:52,-30.74,30.45,63.41,56,0,5.44
181,Russell,US,2020-06-20 18:47:52,32.35,-85.2,91.4,38,20,5.82
182,Toora-Khem,RU,2020-06-20 18:47:52,52.47,96.11,50.25,65,0,1.28
183,Kaeo,NZ,2020-06-20 18:47:53,-35.1,173.78,51.01,3,48,1.01
184,Seymchan,RU,2020-06-20 18:47:53,62.88,152.43,66.2,45,0,3.98
185,Olinda,BR,2020-06-20 18:47:53,-8.01,-34.86,84.2,66,40,16.11
186,Majene,ID,2020-06-20 18:47:53,-3.54,118.97,76.98,87,77,9.53
187,Saint-Philippe,RE,2020-06-20 18:43:40,-21.36,55.77,68.0,77,64,10.29
188,Jiwani,PK,2020-06-20 18:47:54,25.05,61.74,85.03,85,0,11.68
189,Kamphaeng Phet,TH,2020-06-20 18:47:54,16.48,99.52,78.26,88,100,5.06
190,Akdagmadeni,TR,2020-06-20 18:47:54,39.66,35.88,56.98,81,93,1.32
191,Mitu,CO,2020-06-20 18:47:54,1.2,-70.17,87.67,58,39,1.45
192,Coldwater,US,2020-06-20 18:47:55,41.94,-85.0,90.0,42,90,8.05
193,Olot,ES,2020-06-20 18:47:55,42.18,2.49,71.01,96,99,0.13
194,Katsuura,JP,2020-06-20 18:47:55,35.13,140.3,71.01,89,98,3.31
195,Carnarvon,AU,2020-06-20 18:43:56,-24.87,113.63,59.0,87,40,5.82
196,East London,ZA,2020-06-20 18:47:55,-33.02,27.91,68.86,33,0,6.49
197,Bagaha,IN,2020-06-20 18:47:56,27.1,84.08,80.11,80,98,8.52
198,Sao Filipe,CV,2020-06-20 18:47:56,14.9,-24.5,76.08,76,1,9.37
199,Pisco,PE,2020-06-20 18:47:56,-13.7,-76.22,68.0,82,8,11.41
200,Siteki,SZ,2020-06-20 18:47:56,-26.45,31.95,53.51,92,0,2.89
201,Sibolga,ID,2020-06-20 18:47:57,1.74,98.78,78.35,74,33,2.44
202,Algiers,DZ,2020-06-20 18:47:57,36.75,3.04,77.0,53,0,9.17
203,Harper,LR,2020-06-20 18:47:57,4.38,-7.72,78.39,78,82,6.91
204,Port Hedland,AU,2020-06-20 18:47:57,-20.32,118.57,68.0,34,0,10.29
205,Rawson,AR,2020-06-20 18:47:57,-43.3,-65.1,60.71,37,15,28.9
206,Afrikanda,RU,2020-06-20 18:47:57,67.44,32.78,49.08,61,0,1.12
207,Santa Cruz Do Sul,BR,2020-06-20 18:44:48,-29.72,-52.43,77.5,77,26,2.37
208,Mana,GF,2020-06-20 18:47:58,5.66,-53.78,80.98,84,100,10.31
209,Les Escoumins,CA,2020-06-20 18:47:58,48.11,-69.02,63.45,69,30,7.25
210,Cervo,ES,2020-06-20 18:47:58,43.67,-7.41,69.01,33,98,11.01
211,Yeppoon,AU,2020-06-20 18:47:58,-23.13,150.73,62.6,88,90,1.12
212,Alofi,NU,2020-06-20 18:47:59,-19.06,-169.92,73.4,88,100,9.17
213,Georgetown,MY,2020-06-20 18:43:10,5.41,100.34,82.4,94,20,3.36
214,Altay,CN,2020-06-20 18:47:59,47.87,88.12,52.18,73,100,13.09
215,Roald,NO,2020-06-20 18:47:59,62.58,6.13,66.2,77,100,3.36
216,Ozernovskiy,RU,2020-06-20 18:47:59,51.5,156.52,44.35,82,100,6.96
217,Vanavara,RU,2020-06-20 18:44:30,60.34,102.28,54.39,79,3,3.29
218,Upernavik,GL,2020-06-20 18:48:00,72.79,-56.15,40.84,77,0,1.92
219,Oranjemund,NA,2020-06-20 18:48:00,-28.55,16.43,59.04,84,17,1.36
220,Asosa,ET,2020-06-20 18:44:56,10.07,34.53,63.39,99,69,1.72
221,Cabedelo,BR,2020-06-20 18:44:05,-6.98,-34.83,77.0,88,75,14.99
222,Tucuma,BR,2020-06-20 18:48:00,-0.18,-50.05,83.32,76,0,7.0
223,Moindou,NC,2020-06-20 18:48:01,-21.69,165.68,60.8,82,90,3.36
224,Kidal,ML,2020-06-20 18:48:01,18.44,1.41,100.09,8,31,9.53
225,Tyret Pervaya,RU,2020-06-20 18:44:58,53.67,102.31,54.55,85,41,1.07
226,Rostovka,RU,2020-06-20 18:48:01,55.38,71.89,55.0,52,100,15.46
227,Canutama,BR,2020-06-20 18:48:01,-6.53,-64.38,91.92,42,46,4.59
228,Nurota,UZ,2020-06-20 18:48:02,40.56,65.69,78.8,21,0,6.93
229,Tautira,PF,2020-06-20 18:48:02,-17.73,-149.15,82.4,69,75,4.7
230,Thurso,GB,2020-06-20 18:48:02,58.59,-3.53,55.99,93,4,13.87
231,Pacific Grove,US,2020-06-20 18:46:39,36.62,-121.92,62.6,72,75,5.82
232,Maniitsoq,GL,2020-06-20 18:48:03,65.42,-52.9,40.75,81,100,19.28
